Place,Business2015,Employment2015
"Z01560 (South Grafton, MA)",62,355
"Z01561 (South Lancaster, MA)",29,575
"Z01562 (Spencer, MA)",220,2876
"Z01564 (Sterling, MA)",193,2204
"Z01566 (Sturbridge, MA)",229,3580
"Z01568 (Upton, MA)",153,706
"Z01569 (Uxbridge, MA)",271,3476
"Z01570 (Webster, MA)",372,6300
"Z01571 (Dudley, MA)",162,2409
"Z01581 (Westborough, MA)",942,23864
"Z01583 (West Boylston, MA)",237,2509
"Z01585 (West Brookfield, MA)",87,773
"Z01588 (Whitinsville, MA)",202,3155
"Z01590 (Sutton, MA)",155,1703
"Z01601 (Worcester, MA)",8,123
"Z01602 (Worcester, MA)",295,2630
"Z01603 (Worcester, MA)",390,6614
"Z01604 (Worcester, MA)",710,9266
"Z01605 (Worcester, MA)",593,21694
"Z01606 (Worcester, MA)",448,10355
"Z01607 (Worcester, MA)",142,2755
"Z01608 (Worcester, MA)",527,13987
"Z01609 (Worcester, MA)",510,11422
"Z01610 (Worcester, MA)",353,9375
"Z01611 (Cherry Valley, MA)",30,281
"Z01612 (Paxton, MA)",70,821
"Z01613 (Worcester, MA)",21,263
"Z01614 (Worcester, MA)",2,a
"Z01615 (Worcester, MA)",9,357
"Z01653 (Worcester, MA)",4,66
"Z01655 (Worcester, MA)",6,94
"Z01701 (Framingham, MA)",1179,29091
"Z01702 (Framingham, MA)",881,13841
"Z01703 (Framingham, MA)",9,26
"Z01704 (Framingham, MA)",5,19
"Z01719 (Boxborough, MA)",139,3989
"Z01720 (Acton, MA)",714,8203
"Z01721 (Ashland, MA)",396,4609
"Z01730 (Bedford, MA)",550,17825
"Z01731 (Hanscom Afb, MA)",33,685
"Z01740 (Bolton, MA)",124,722
"Z01741 (Carlisle, MA)",102,499
"Z01742 (Concord, MA)",762,9803
"Z01745 (Fayville, MA)",15,128
"Z01746 (Holliston, MA)",388,5057
"Z01747 (Hopedale, MA)",142,1813
"Z01748 (Hopkinton, MA)",439,15077
"Z01749 (Hudson, MA)",524,7760
"Z01752 (Marlborough, MA)",1408,34483
"Z01754 (Maynard, MA)",265,2239
"Z01756 (Mendon, MA)",138,1061
"Z01757 (Milford, MA)",792,15834
"Z01760 (Natick, MA)",1302,20903
"Z01770 (Sherborn, MA)",106,638
"Z01772 (Southborough, MA)",339,7784
"Z01773 (Lincoln, MA)",145,1385
"Z01775 (Stow, MA)",160,1249
"Z01776 (Sudbury, MA)",522,6397
"Z01778 (Wayland, MA)",360,3408
"Z01784 (Woodville, MA)",4,35
"Z01801 (Woburn, MA)",2069,42347
"Z01803 (Burlington, MA)",1483,40367
"Z01805 (Burlington, MA)",14,i
"Z01810 (Andover, MA)",1042,28458
"Z01812 (Andover, MA)",1,a
"Z01815 (Woburn, MA)",1,a
"Z01821 (Billerica, MA)",725,13932
"Z01824 (Chelmsford, MA)",823,20087
"Z01826 (Dracut, MA)",538,4393
"Z01827 (Dunstable, MA)",44,120
"Z01830 (Haverhill, MA)",502,6757
"Z01831 (Haverhill, MA)",15,169
"Z01832 (Haverhill, MA)",285,4896
"Z01833 (Georgetown, MA)",205,2273
"Z01834 (Groveland, MA)",121,892
"Z01835 (Haverhill, MA)",300,5626
"Z01840 (Lawrence, MA)",330,5547
"Z01841 (Lawrence, MA)",381,6644
"Z01842 (Lawrence, MA)",20,206
"Z01843 (Lawrence, MA)",451,9350
"Z01844 (Methuen, MA)",905,16416
"Z01845 (North Andover, MA)",883,14595
"Z01850 (Lowell, MA)",103,1421
"Z01851 (Lowell, MA)",450,8568
"Z01852 (Lowell, MA)",728,11640
"Z01853 (Lowell, MA)",19,538
"Z01854 (Lowell, MA)",294,6707
"Z01860 (Merrimac, MA)",82,543
"Z01862 (North Billerica, MA)",386,7641
"Z01863 (North Chelmsford, MA)",221,2871
"Z01864 (North Reading, MA)",510,6700
"Z01865 (Nutting Lake, MA)",2,a
"Z01866 (Pinehurst, MA)",6,17
"Z01867 (Reading, MA)",537,7146
"Z01876 (Tewksbury, MA)",705,14595
"Z01879 (Tyngsboro, MA)",316,3368
"Z01880 (Wakefield, MA)",887,14663
"Z01885 (West Boxford, MA)",9,21
"Z01886 (Westford, MA)",594,10266
"Z01887 (Wilmington, MA)",825,17537
"Z01888 (Woburn, MA)",17,260
"Z01889 (North Reading, MA)",2,b
"Z01890 (Winchester, MA)",570,6833
"Z01901 (Lynn, MA)",292,6900
"Z01902 (Lynn, MA)",385,3636
"Z01903 (Lynn, MA)",8,32
"Z01904 (Lynn, MA)",275,2257
"Z01905 (Lynn, MA)",302,3694
"Z01906 (Saugus, MA)",768,10000
"Z01907 (Swampscott, MA)",323,2894
"Z01908 (Nahant, MA)",47,314
"Z01910 (Lynn, MA)",10,g
"Z01913 (Amesbury, MA)",398,3944
